,Close,Compound,Negative,Neutral,Positive,Open,High,Low,Volume
2017-01-30,517.49469,-0.9997,0.134,0.762,0.104,507.662872,518.311951,507.588562,7235452.0
2017-01-31,517.69281,-0.9998,0.129,0.777,0.094,518.510071,521.9523929999998,515.265808,6980274.0
2017-02-01,519.896912,-0.9999,0.153,0.75,0.097,518.13855,520.516052,512.739746,5220617.0
2017-02-02,516.850769,-0.5009,0.118,0.759,0.123,520.070251,520.466492,514.250427,4199246.0
2017-02-03,511.97201500000006,-0.9991,0.124,0.769,0.107,518.08905,520.293152,510.213684,6100788.0
2017-02-06,515.9344480000002,-0.9998,0.141,0.747,0.113,513.631287,517.544189,511.179535,4611263.0
2017-02-07,510.609924,-0.9999,0.15,0.769,0.081,516.107788,516.2811889999998,508.777313,4571415.0
2017-02-08,507.761932,-0.9997,0.137,0.756,0.107,510.609924,514.250427,506.201721,7490523.0
2017-02-09,511.526245,-1.0,0.16,0.761,0.079,509.173553,512.145386,508.579163,4551167.0
2017-02-10,510.238434,-0.9997,0.126,0.776,0.099,512.6406860000002,512.913086,507.960052,5777310.0
2017-02-13,510.089844,0.8419,0.115,0.771,0.114,511.650055,512.145386,506.201721,3953095.0
2017-02-14,519.971191,-0.9998,0.143,0.752,0.104,512.6406860000002,521.506653,510.11462400000005,8419890.0
2017-02-15,520.714172,-0.9979,0.133,0.745,0.123,521.506653,523.785034,517.717529,7031717.0
2017-02-16,528.738098,-0.9999,0.148,0.762,0.089,521.3332519999999,529.7039179999998,521.3332519999999,9070869.0
2017-02-17,532.7005,-0.9998,0.13,0.776,0.094,528.242798,534.037842,524.255554,6852052.0
2017-02-20,532.651001,-0.9996,0.129,0.77,0.101,530.248779,534.359802,528.242798,5376741.0
2017-02-21,538.990906,-0.9999,0.136,0.791,0.073,532.551941,540.352966,531.487061,6547056.0
2017-02-22,598.080811,-0.9997,0.115,0.803,0.082,541.368347,600.136292,540.8730469999998,58759604.0
2017-02-23,585.822021,-0.9999,0.126,0.807,0.067,601.102173,605.262695,584.137939,28728225.0
2017-02-27,613.633362,-0.9998,0.147,0.745,0.108,589.660583,622.499329,589.586304,38499330.0
2017-02-28,613.212341,-0.9999,0.13,0.79,0.08,610.2157589999998,618.140625,608.482178,16665551.0
2017-03-01,611.454041,-0.9999,0.14,0.784,0.076,614.227722,616.3575440000002,609.225159,11253980.0
2017-03-02,612.5684809999998,-0.9999,0.127,0.788,0.085,613.138062,621.459167,607.763977,8336344.0
2017-03-03,623.366089,-0.9999,0.141,0.779,0.08,614.945923,637.85376,614.945923,38907038.0
2017-03-06,646.546387,-0.9994,0.115,0.795,0.089,628.542053,649.840149,626.684631,30793458.0
2017-03-07,646.348267,-0.9998,0.113,0.813,0.074,653.233032,657.269714,641.989563,19416016.0
2017-03-08,639.537842,-0.9998,0.121,0.794,0.084,647.710327,647.710327,637.0117799999998,20000005.0
2017-03-09,637.33374,-0.9996,0.116,0.8,0.084,638.9434809999998,642.905884,634.733337,14350087.0
2017-03-10,634.807678,-0.9995,0.116,0.791,0.093,639.067261,641.915283,624.67865,11438543.0
2017-03-14,638.695801,-0.9961,0.114,0.781,0.106,653.1834719999998,653.307312,636.5907589999998,12813559.0
2017-03-15,646.348267,-0.9997,0.131,0.765,0.104,639.463501,651.969971,639.1416019999998,11125787.0
2017-03-16,642.7325440000002,-0.9998,0.13,0.78,0.09,648.849548,649.0476679999998,640.7265629999998,7348934.0
2017-03-17,644.243225,-0.9998,0.132,0.784,0.084,647.858948,653.777832,642.930664,10488640.0
2017-03-20,634.386658,-0.9987,0.118,0.778,0.104,646.868347,646.9921879999998,633.1731570000002,5939197.0
